Zkm SZA   ndCO2m3   ndN2m3    ndOm3     ndCOm3    ndHem3    ndNm3     ndHm3     rhokgm3   pNm2       TK     MMWT
150  15  9.81E+15  1.32E+15  4.00E+15  2.34E+15  5.01E+12  4.65E+13  8.88E+10  9.94E-10  5.961E-05  246.5  34.174
155  15  3.87E+15  7.20E+14  2.78E+15  1.27E+15  4.51E+12  3.36E+13  8.43E+10  4.50E-10  3.084E-05  257.4  31.224
160  15  1.60E+15  4.06E+14  1.98E+15  7.18E+14  4.10E+12  2.49E+13  8.09E+10  2.22E-10  1.729E-05  265.0  28.294
165  15  6.83E+14  2.34E+14  1.43E+15  4.15E+14  3.75E+12  1.87E+13  7.82E+10  1.19E-10  1.044E-05  270.5  25.635
170  15  2.98E+14  1.37E+14  1.05E+15  2.43E+14  3.46E+12  1.42E+13  7.59E+10  6.76E-11  6.605E-06  274.4  23.351
175  15  1.32E+14  8.15E+13  7.76E+14  1.44E+14  3.19E+12  1.09E+13  7.40E+10  4.10E-11  4.388E-06  277.1  21.525
180  15  5.90E+13  4.88E+13  5.76E+14  8.63E+13  2.96E+12  8.40E+12  7.23E+10  2.61E-11  3.009E-06  279.0  20.120
185  15  2.66E+13  2.93E+13  4.30E+14  5.19E+13  2.74E+12  6.50E+12  7.07E+10  1.73E-11  2.116E-06  280.4  19.057
190  15  1.21E+13  1.77E+13  3.22E+14  3.14E+13  2.55E+12  5.04E+12  6.93E+10  1.19E-11  1.524E-06  281.4  18.268
195  15  5.51E+12  1.07E+13  2.42E+14  1.90E+13  2.37E+12  3.92E+12  6.79E+10  8.31E-12  1.103E-06  282.1  17.669
200  15  2.52E+12  6.53E+12  1.82E+14  1.15E+13  2.21E+12  3.05E+12  6.67E+10  5.94E-12  8.103E-07  282.5  17.219
205  15  1.16E+12  3.97E+12  1.37E+14  7.03E+12  2.05E+12  2.38E+12  6.54E+10  4.30E-12  5.994E-07  282.9  16.873
210  15  5.32E+11  2.42E+12  1.03E+14  4.29E+12  1.91E+12  1.86E+12  6.43E+10  3.14E-12  4.454E-07  283.1  16.594
215  15  2.45E+11  1.48E+12  7.77E+13  2.62E+12  1.78E+12  1.45E+12  6.31E+10  2.32E-12  3.340E-07  283.3  16.362
220  15  1.13E+11  9.05E+11  5.87E+13  1.60E+12  1.66E+12  1.13E+12  6.20E+10  1.72E-12  2.508E-07  283.4  16.158
225  15  5.24E+10  5.54E+11  4.43E+13  9.80E+11  1.55E+12  8.88E+11  6.09E+10  1.28E-12  1.889E-07  283.5  15.971
230  15  2.43E+10  3.40E+11  3.35E+13  6.01E+11  1.44E+12  6.95E+11  5.98E+10  9.61E-13  1.435E-07  283.6  15.793
235  15  1.13E+10  2.08E+11  2.53E+13  3.86E+11  1.35E+12  5.44E+11  5.88E+10  7.22E-13  1.090E-07  283.6  15.615
